,keywords,title,scores
0,"['medical', 'including', 'discharges', 'hospital', 'patient', 'city', 'chinas', 'hubei', 'discharged', 'cases', 'hospitals', 'wuhan', 'reported', 'nhc', 'coronavirus']",China's Wuhan city discharges last coronavirus patient from hospital,0.3620689655172414
1,"['curfew', 'way', 'entertains', 'true', 'kawakami', 'community', 'imposing', 'tshirt', 'try', 'videos', 'facebook', 'mayor', 'residents', 'covid19', 'dont']",Covid-19: Mayor entertains residents after imposing curfew,0.29310344827586204
2,"['virus', 'recovering', 'work', 'secretary', 'coronavirus', 'boris', 'worsened', 'uk', 'worst', 'johnson', 'covid19', 'returns']",UK PM Boris Johnson returns to work after recovering from virus,0.9482758620689655
3,"['wants', 'say', 'shot', 'shooting', 'officers', 'paul', 'law', 'dead', 'louisiana', 'veteran', 'officer', 'wounded', 'standoff']","1 officer dead, 1 wounded in Louisiana shooting",0.034482758620689655
4,"['surprise', 'unveiling', 'irans', 'launched', 'guard', 'satellite', 'states', 'tensions', 'state', 'united', 'launch', 'wider']",Iran's Guard says it launched satellite,0.05172413793103448
5,"['wild', 'pollution', 'world', 'air', 'shows', 'turtles', 'seen', 'impact', 'earth', 'animals', 'wales', 'human', 'shutdown', 'covid19', 'virus']",Covid-19: Virus shutdown shows human impact on Earth,0.5
6,"['reunion', 'talermo', 'san', 'stolen', 'dog', 'telling', 'francisco', 'woman', 'search', 'owner', 'white', 'joyous', 'shelter']",San Francisco: Dog stolen in December has joyous reunion with owner,0.06896551724137931
7,"['wants', 'prices', 'extreme', 'pandemic', 'collapse', 'lows', 'drop', 'times', 'theres', 'swing', 'historic', 'trading', 'oil', 'demand', 'unprecedented', 'unused', 'crude']",Crude Oil prices drop to historic lows after extreme collapse in demand,0.3103448275862069
8,"['study', 'higher', 'adults', 'los', 'county', 'infection', 'rate', 'angeles', 'indicates', 'covid19', 'usc', 'virus']",Covid-19: Los Angeles study indicates higher infection rate,0.4482758620689655
9,"['politics', 'criticism', 'thing', 'testing', 'terrible', 'dealing', 'thats', 'trump', 'president', 'covid19', 'theyll']",Covid-19: President Trump says 'politics' is behind testing criticism,0.2413793103448276
10,"['india', 'heat', 'pack', 'weekend', 'parking', 'world', 'thousands', 'wave', 'beat', 'huntington', 'orange', 'times', 'ford', 'county', 'southern', 'beaches', 'beach', 'california']",Thousands pack Southern California beaches to beat heat wave,0.39655172413793105
11,"['12000', 'preparing', 'asked', 'pak', 'total', 'taraweeh', 'vaccine', 'denies', 'patients', 'cases', 'mosques', 'reported', 'pakistan', 'covid19', 'cross', 'coronavirus']","coronavirus: Pak denies preparing vaccine for COVID-19; cases cross 12,000",0.6724137931034483
12,"['return', 'factory', 'bangladesh', 'reopen', 'garment', 'work', 'coronavirus', 'times', 'factories', 'export', 'lockdown', 'told', 'defying', 'virus']","Bangladesh garment factories reopen, defying virus lockdown",0.7758620689655172
13,"['violence', 'victim', 'abuse', 'cent', 'weeks', 'london', 'williams', 'day', 'domestic', 'arrested', 'increased', '100', 'lockdown', 'yard', 'covid19', 'coronavirus']",Some 100 people arrested a day in London for domestic violence during coronavirus lockdown,0.7241379310344828
14,"['wrong', 'italys', 'region', 'lombardy', 'health', 'nursing', 'care', 'ponders', 'went', 'italy', 'eases', 'hardesthit', 'lockdown', 'regional', 'lombardys', 'virus']","As virus lockdown eases, Italy ponders what went wrong",0.46551724137931033
15,"['largest', 'india', 'study', 'increase', 'growth', 'cent', '2019', 'military', 'expenditure', 'global', 'saw', 'spenders', 'spending', 'china', 'decade', 'billion']","Global military spending saw largest increase in decade in 2019; China, India in top 3: Study",0.20689655172413793
16,"['declaration', 'saudi', 'state', 'coalition', 'saudiled', 'yemen', 'rejects', 'separatists', 'selfrule', 'stc', 'southern', 'riyadh', 'south', 'war']",Saudi-led coalition rejects south Yemen self-rule declaration,0.3275862068965517
17,"['ardern', 'restrictions', 'level', 'zealand', 'times', 'won', 'battle', 'need', 'minister', 'jacinda', 'transmission', 'prime', 'virus']",New Zealand has won a battle against virus transmission: PM Jacinda Ardern,0.3620689655172414
18,"['province', 'trying', 'trunk', 'tries', 'smuggle', 'arrested', 'car', 'girlfriend', 'woman', 'times', 'lockdown', 'roadblock', 'man', 'south']",Man tries to smuggle girlfriend in car trunk during lockdown,0.43103448275862066
19,"['dnc', 'position', 'nanda', 'democratic', 'presidential', 'party', 'indianamerican', 'ceo', 'announced', 'step', 'biden', 'trump', 'seema', 'lawyer', 'cahill']",Indian-American lawyer Seema Nanda to step down as CEO of Democratic Party,0.10344827586206896
20,"['aaas', 'public', 'university', 'indianamerican', 'sciences', 'american', 'chancellor', 'woman', 'houston', 'elected', 'khator', 'arts', 'academy']",Indian-American woman elected to American Academy of Arts and Sciences,0.1206896551724138
21,"['india', 'country', 'hunger', 'indiaspora', 'group', 'indian', 'food', 'work', 'ngo', 'indianamerican', 'states', 'relief', 'support', 'million', 'raises', 'campaign', 'coronavirus']","Coronavirus: Indian-American NGO raises $1 million for relief work in US, India",0.7068965517241379
22,"['india', 'pandemic', 'uma', 'work', 'doctor', 'coronavirus', 'honoured', 'social', 'fighting', 'workers', 'times', 'measures', 'healthcare', 'distancing', 'indianorigin', 'services']",Indian-origin doctor honoured for her services in fighting Coronavirus in US,0.7068965517241379
23,"['uks', 'ramakrishnan', 'group', 'royal', 'society', 'pandemic', 'scientific', 'work', 'laureate', 'modelling', 'nobel', 'expert', 'support', 'venki', 'professor', 'covid19', 'indianorigin', 'data']",Indian-origin Nobel laureate Venki Ramakrishnan in UK's Covid-19 expert group,0.6206896551724138
24,"['khanna', 'council', 'advisory', 'group', 'ro', 'indianamerican', 'congressman', 'american', 'times', 'small', 'house', 'white', 'america', 'need', 'coronavirus']",Indian-American Congressman Ro Khanna in White House coronavirus advisory council,0.5517241379310345
25,"['india', 'uae', 'indian', 'expats', 'million', 'draw', 'times', 'jackpot', 'ticket', 'held', 'win']",3 Indian expats in UAE win $5 million jackpot,0.22413793103448276
